supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	update_user_qr_codes_updated_at
supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	update_processed_bills_updated_at
supabase\supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	update_trusted_partner_discounts_updated_at_trigger
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	trigger_update_payments_updated_at
supabase_backup_last_working_20250924_163328\supabase\migrations\20250919170000_create_automatic_role_assignment_trigger.sql	trigger_automatic_role_assignment
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	to
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	update_merchant_discounts_updated_at_trigger
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	to
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	update_merchant_discounts_updated_at_trigger
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	update_merchant_discounts_updated_at_trigger
supabase_backup_last_working_20250924_163328\supabase\migrations\20250926000000_automatic_qr_payment_management.sql	on
supabase_backup_last_working_20250924_163328\supabase\migrations\20250926000000_automatic_qr_payment_management.sql	trigger_payment_completion
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	update_processed_bills_updated_at
