supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	processed_bills
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20240913000000_create_base_tables.sql	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250917210000_create_payments_table.sql	payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100000_create_merchant_discounts_table.sql	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921100001_populate_name_surname_from_qr_code.sql	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.businesses
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.memberships
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.merchant_discounts
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.merchants
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.payments
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.profiles
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250924132508_complete_schema_rebuild.sql	public.users
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.subscription_renewals
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.subscriptions
supabase_backup_last_working_20250924_163328\supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.user_qr_codes
supabase_backup_last_working_20250924_163328\supabase\migrations\20250926000000_automatic_qr_payment_management.sql	public.payment_schedules
supabase_backup_last_working_20250924_163328\supabase\supabase\migrations\20250924100639_create_processed_bills_table_and_storage.sql	processed_bills
unified_schema_rls_policies.sql	deal_authorizations
unified_schema_rls_policies.sql	notifications
unified_schema_rls_policies.sql	processed_bills
