add_tp_inquiries_table.sql	"Admin can read TP inquiries"	tp_inquiries
add_tp_inquiries_table.sql	"Admin can update TP inquiries"	tp_inquiries
add_tp_inquiries_table.sql	"Anyone can submit a TP inquiry"	tp_inquiries
add_tp_member_keys_table.sql	"admin_full_access_tp_member_keys"	public.tp_member_keys
add_tp_member_keys_table.sql	"authenticated_read_tp_member_keys"	public.tp_member_keys
add_tp_member_keys_table.sql	"authenticated_update_tp_member_keys"	public.tp_member_keys
align_admin_select_policy.sql	"Admin can view all trusted partner discounts"	public.trusted_partner_discounts
apply_admin_chat_two_way.sql	chat_messages_insert	public.chat_messages
apply_admin_chat_two_way.sql	chat_messages_update	public.chat_messages
APPLY_ADMIN_PASSWORD_CREATION.sql	"Admins can create discounts when allowed"	public.trusted_partner_discounts
APPLY_ADMIN_PASSWORD_CREATION.sql	"Admins can delete discounts when allowed"	public.trusted_partner_discounts
APPLY_ADMIN_PASSWORD_CREATION.sql	"Admins can delete profiles"	public.profiles
APPLY_ADMIN_PASSWORD_CREATION.sql	"Admins can update discounts when allowed"	public.trusted_partner_discounts
APPLY_ADMIN_PASSWORD_CREATION.sql	"Admins can update profiles"	public.profiles
APPLY_DEAL_IMAGE_FIX.sql	"Admins can upload deal images for authorized partners"	storage.objects
APPLY_DEAL_IMAGE_FIX.sql	"Trusted partners can upload deal images"	storage.objects
apply_payment_flow_migration.sql	"Partners can insert approvals for their bills"	bill_approvals
apply_payment_flow_migration.sql	"Partners can update their own approvals"	bill_approvals
apply_payment_flow_migration.sql	"Partners can view their own approvals"	bill_approvals
apply_payment_flow_migration.sql	"Users can delete own bank accounts"	trusted_partner_bank_accounts
apply_payment_flow_migration.sql	"Users can insert own bank accounts"	trusted_partner_bank_accounts
apply_payment_flow_migration.sql	"Users can update own bank accounts"	trusted_partner_bank_accounts
apply_payment_flow_migration.sql	"Users can view own bank accounts"	trusted_partner_bank_accounts
cleanup_rls_always_true_policies.sql	"Admins can insert profiles"	profiles
cleanup_rls_always_true_policies.sql	"Admins can update all profiles"	profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Admins can insert profiles"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Admins can update all profiles"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Admins can view all profiles"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Authenticated users can view profiles for FK validation"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Users can insert own profile"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Users can update own profile"	public.profiles
COMPLETE_ADMIN_TRUSTED_PARTNER_FIX.sql	"Users can view own profile"	public.profiles
comprehensive_rls_fix.sql	"Admin full access to memberships"	public.memberships
comprehensive_rls_fix.sql	"Admin full access to profiles"	public.profiles
comprehensive_rls_fix.sql	"Users can insert own membership"	public.memberships
comprehensive_rls_fix.sql	"Users can insert own profile"	public.profiles
comprehensive_rls_fix.sql	"Users can update own membership"	public.memberships
comprehensive_rls_fix.sql	"Users can update own profile"	public.profiles
comprehensive_rls_fix.sql	"Users can view own membership"	public.memberships
comprehensive_rls_fix.sql	"Users can view own profile"	public.profiles
comprehensive_schema_with_rls.sql	"Admins can manage all businesses"	public.businesses
comprehensive_schema_with_rls.sql	"Admins can update memberships"	public.memberships
comprehensive_schema_with_rls.sql	"Admins can update payments"	public.payments
comprehensive_schema_with_rls.sql	"Admins can view all authorizations"	public.deal_authorizations
comprehensive_schema_with_rls.sql	"Admins can view all bills"	public.processed_bills
comprehensive_schema_with_rls.sql	"Admins can view all discounts"	public.trusted_partner_discounts
comprehensive_schema_with_rls.sql	"Admins can view all memberships"	public.memberships
comprehensive_schema_with_rls.sql	"Admins can view all notifications"	public.notifications
comprehensive_schema_with_rls.sql	"Admins can view all payments"	public.payments
comprehensive_schema_with_rls.sql	"Admins can view all profiles"	public.profiles
comprehensive_schema_with_rls.sql	"Admins can view all QR codes"	public.user_qr_codes
comprehensive_schema_with_rls.sql	"Admins can view all subscriptions"	public.subscriptions
comprehensive_schema_with_rls.sql	"Admins can view all trusted_partners"	public.trusted_partners
comprehensive_schema_with_rls.sql	"Authenticated members can create businesses"	public.businesses
comprehensive_schema_with_rls.sql	"Authenticated members can insert notifications"	public.notifications
comprehensive_schema_with_rls.sql	"Authenticated members can insert payments"	public.payments
comprehensive_schema_with_rls.sql	"Authenticated members can insert subscriptions"	public.subscriptions
comprehensive_schema_with_rls.sql	"Authenticated members can insert their profile"	public.profiles
comprehensive_schema_with_rls.sql	"Authenticated members can insert trusted_partner records"	public.trusted_partners
comprehensive_schema_with_rls.sql	"Business owners can manage their discounts"	public.trusted_partner_discounts
comprehensive_schema_with_rls.sql	"Business owners can update authorizations for their business"	public.deal_authorizations
comprehensive_schema_with_rls.sql	"Business owners can update their business"	public.businesses
comprehensive_schema_with_rls.sql	"Business owners can view authorizations for their business"	public.deal_authorizations
comprehensive_schema_with_rls.sql	"Business owners can view bills for their business"	public.processed_bills
comprehensive_schema_with_rls.sql	"Members can create their own authorizations"	public.deal_authorizations
comprehensive_schema_with_rls.sql	"Members can insert their own bills"	public.processed_bills
comprehensive_schema_with_rls.sql	"Members can insert their own QR codes"	public.user_qr_codes
comprehensive_schema_with_rls.sql	"Members can update their own bills"	public.processed_bills
comprehensive_schema_with_rls.sql	"Members can update their own notifications"	public.notifications
comprehensive_schema_with_rls.sql	"Members can update their own profile"	public.profiles
comprehensive_schema_with_rls.sql	"Members can update their own subscriptions"	public.subscriptions
comprehensive_schema_with_rls.sql	"Members can update their own trusted_partner record"	public.trusted_partners
comprehensive_schema_with_rls.sql	"Members can view all active discounts"	public.trusted_partner_discounts
comprehensive_schema_with_rls.sql	"Members can view all businesses"	public.businesses
comprehensive_schema_with_rls.sql	"Members can view their own authorizations"	public.deal_authorizations
comprehensive_schema_with_rls.sql	"Members can view their own bills"	public.processed_bills
comprehensive_schema_with_rls.sql	"Members can view their own membership"	public.memberships
comprehensive_schema_with_rls.sql	"Members can view their own notifications"	public.notifications
comprehensive_schema_with_rls.sql	"Members can view their own payments"	public.payments
comprehensive_schema_with_rls.sql	"Members can view their own profile"	public.profiles
comprehensive_schema_with_rls.sql	"Members can view their own QR codes"	public.user_qr_codes
comprehensive_schema_with_rls.sql	"Members can view their own subscriptions"	public.subscriptions
comprehensive_schema_with_rls.sql	"Members can view their own trusted_partner record"	public.trusted_partners
comprehensive_schema_with_rls.sql	"Users can delete own bank accounts"	public.trusted_partner_bank_accounts
comprehensive_schema_with_rls.sql	"Users can insert own bank accounts"	public.trusted_partner_bank_accounts
comprehensive_schema_with_rls.sql	"Users can update own bank accounts"	public.trusted_partner_bank_accounts
comprehensive_schema_with_rls.sql	"Users can view own bank accounts"	public.trusted_partner_bank_accounts
create_admin_delete_tp_system.sql	"Admins can insert archived payments"	public.archived_pending_payments
create_admin_delete_tp_system.sql	"Admins can insert archived paystack"	public.archived_paystack_data
create_admin_delete_tp_system.sql	"Admins can insert archived receipts"	public.archived_receipts
create_admin_delete_tp_system.sql	"Admins can view archived payments"	public.archived_pending_payments
create_admin_delete_tp_system.sql	"Admins can view archived paystack"	public.archived_paystack_data
create_admin_delete_tp_system.sql	"Admins can view archived receipts"	public.archived_receipts
create_archived_members_table.sql	"Admins can view all archived members"	public.archived_members
create_archived_members_table.sql	"Anon users can check archived members by email"	public.archived_members
create_archived_members_table.sql	"Service role can insert archived members"	public.archived_members
create_calibration_receipts_table.sql	"Business owners can manage their calibration receipts"	calibration_receipts
