full_reinstate.sql	"Trusted partners can view authorizations for their business"	deal_authorizations
full_reinstate.sql	"Trusted partners can view own business"	public.businesses
full_reinstate.sql	"Trusted partners can view virtual receipts for their authorizations"	virtual_receipts
full_reinstate.sql	"Users can delete own bank accounts"	trusted_partner_bank_accounts
full_reinstate.sql	"Users can delete their own business"	public.businesses
full_reinstate.sql	"Users can delete their own discounts"	merchant_discounts
full_reinstate.sql	"Users can delete their own discounts"	public.merchant_discounts
full_reinstate.sql	"Users can insert own bank accounts"	trusted_partner_bank_accounts
full_reinstate.sql	"Users can insert own profile"	public.profiles
full_reinstate.sql	"Users can insert their own business"	public.businesses
full_reinstate.sql	"Users can insert their own discounts"	merchant_discounts
full_reinstate.sql	"Users can insert their own discounts"	public.merchant_discounts
full_reinstate.sql	"Users can insert their own memberships"	public.memberships
full_reinstate.sql	"Users can insert their own payments"	payments
full_reinstate.sql	"Users can insert their own payments"	public.payments
full_reinstate.sql	"Users can insert their own QR codes"	public.user_qr_codes
full_reinstate.sql	"Users can insert their own renewal records"	public.subscription_renewals
full_reinstate.sql	"Users can insert their own subscriptions"	public.subscriptions
full_reinstate.sql	"Users can update own bank accounts"	trusted_partner_bank_accounts
full_reinstate.sql	"Users can update own business"	public.businesses
full_reinstate.sql	"Users can update own profile"	public.profiles
full_reinstate.sql	"Users can update their notifications"	notifications
full_reinstate.sql	"Users can update their own business"	public.businesses
full_reinstate.sql	"Users can update their own discounts"	merchant_discounts
full_reinstate.sql	"Users can update their own discounts"	public.merchant_discounts
full_reinstate.sql	"Users can update their own memberships"	public.memberships
full_reinstate.sql	"Users can update their own notifications"	notifications
full_reinstate.sql	"Users can update their own QR codes"	public.user_qr_codes
full_reinstate.sql	"Users can update their own subscriptions"	public.subscriptions
full_reinstate.sql	"Users can view active discounts from all merchants"	merchant_discounts
full_reinstate.sql	"Users can view all discounts"	trusted_partner_discounts
full_reinstate.sql	"Users can view business names for offers"	businesses
full_reinstate.sql	"Users can view own bank accounts"	trusted_partner_bank_accounts
full_reinstate.sql	"Users can view own business"	public.businesses
full_reinstate.sql	"Users can view own membership"	public.memberships
full_reinstate.sql	"Users can view own profile"	public.profiles
full_reinstate.sql	"Users can view own trusted_partner record"	public.trusted_partners
full_reinstate.sql	"Users can view own user record"	public.users
full_reinstate.sql	"Users can view their notifications"	notifications
full_reinstate.sql	"Users can view their own business"	public.businesses
full_reinstate.sql	"Users can view their own discounts"	merchant_discounts
full_reinstate.sql	"Users can view their own discounts"	public.merchant_discounts
full_reinstate.sql	"Users can view their own memberships"	public.memberships
full_reinstate.sql	"Users can view their own notifications"	notifications
full_reinstate.sql	"Users can view their own payment schedules"	public.payment_schedules
full_reinstate.sql	"Users can view their own payments"	payments
full_reinstate.sql	"Users can view their own payments"	public.payments
full_reinstate.sql	"Users can view their own QR codes"	public.user_qr_codes
full_reinstate.sql	"Users can view their own renewal history"	public.subscription_renewals
full_reinstate.sql	"Users can view their own subscriptions"	public.subscriptions
full_reinstate.sql	allow_self_profile_insert	public.profiles
full_reinstate.sql	allow_self_profile_update	public.profiles
full_reinstate.sql	allow_self_users_insert	public.users
full_reinstate.sql	allow_self_users_select	public.users
full_reinstate.sql	allow_self_users_update	public.users
migration_deactivation_feature.sql	"Members can view active deals from non-deactivated partners"	trusted_partner_discounts
migration_deactivation_feature.sql	"Members can view active trusted partners"	profiles
migration_deactivation_feature.sql	"Members cannot see deactivated profiles"	profiles
quick_fix_deal_authorization_rls.sql	"Authenticated users can view all businesses"	public.businesses
recreate_payments_table.sql	"Admins can view all payments"	public.payments
recreate_payments_table.sql	"Service role can manage payments"	public.payments
recreate_payments_table.sql	"Users can insert their own payments"	public.payments
recreate_payments_table.sql	"Users can view their own payments"	public.payments
REV_01\add_missing_tables.sql	"Merchants can manage their discounts"	public.merchant_discounts
REV_01\add_missing_tables.sql	"Service role can manage businesses"	public.businesses
REV_01\add_missing_tables.sql	"Service role can manage merchant discounts"	public.merchant_discounts
REV_01\add_missing_tables.sql	"Service role can manage merchants"	public.merchants
REV_01\add_missing_tables.sql	"Service role can manage subscription renewals"	public.subscription_renewals
REV_01\add_missing_tables.sql	"Service role can manage subscriptions"	public.subscriptions
REV_01\add_missing_tables.sql	"Trusted partners can manage their businesses"	public.businesses
REV_01\add_missing_tables.sql	"Users can insert their own merchant profile"	public.merchants
REV_01\add_missing_tables.sql	"Users can insert their own subscriptions"	public.subscriptions
REV_01\add_missing_tables.sql	"Users can update their own merchant profile"	public.merchants
REV_01\add_missing_tables.sql	"Users can update their own subscriptions"	public.subscriptions
REV_01\add_missing_tables.sql	"Users can view active discounts"	public.merchant_discounts
REV_01\add_missing_tables.sql	"Users can view businesses"	public.businesses
REV_01\add_missing_tables.sql	"Users can view their own merchant profile"	public.merchants
REV_01\add_missing_tables.sql	"Users can view their own renewal history"	public.subscription_renewals
REV_01\add_missing_tables.sql	"Users can view their own subscriptions"	public.subscriptions
REV_01\apply_payment_flow_migration.sql	"Partners can insert approvals for their bills"	bill_approvals
REV_01\apply_payment_flow_migration.sql	"Partners can update their own approvals"	bill_approvals
REV_01\apply_payment_flow_migration.sql	"Partners can view their own approvals"	bill_approvals
REV_01\apply_payment_flow_migration.sql	"Users can delete own bank accounts"	trusted_partner_bank_accounts
REV_01\apply_payment_flow_migration.sql	"Users can insert own bank accounts"	trusted_partner_bank_accounts
REV_01\apply_payment_flow_migration.sql	"Users can update own bank accounts"	trusted_partner_bank_accounts
REV_01\apply_payment_flow_migration.sql	"Users can view own bank accounts"	trusted_partner_bank_accounts
REV_01\complete_signup_fix.sql	"Users can insert memberships"	public.memberships
REV_01\complete_signup_fix.sql	"Users can insert own profile"	public.profiles
REV_01\complete_signup_fix.sql	"Users can insert own QR codes"	public.user_qr_codes
REV_01\complete_signup_fix.sql	"Users can insert own user record"	public.users
REV_01\complete_signup_fix.sql	"Users can update own profile"	public.profiles
REV_01\complete_signup_fix.sql	"Users can update own QR codes"	public.user_qr_codes
REV_01\complete_signup_fix.sql	"Users can view own membership"	public.memberships
REV_01\complete_signup_fix.sql	"Users can view own profile"	public.profiles
REV_01\complete_signup_fix.sql	"Users can view own QR codes"	public.user_qr_codes
REV_01\complete_signup_fix.sql	"Users can view own user record"	public.users
REV_01\create_merchant_discounts_table.sql	"Users can delete their own discounts"	public.merchant_discounts
REV_01\create_merchant_discounts_table.sql	"Users can insert their own discounts"	public.merchant_discounts
REV_01\create_merchant_discounts_table.sql	"Users can update their own discounts"	public.merchant_discounts
REV_01\create_merchant_discounts_table.sql	"Users can view all active discounts"	public.merchant_discounts
REV_01\create_merchant_discounts_table.sql	"Users can view their own discounts"	public.merchant_discounts
REV_01\fix_business_bills_storage.sql	"Business owners can delete their bills"	public.business_bills
REV_01\fix_business_bills_storage.sql	"Business owners can delete their bills"	storage.objects
REV_01\fix_business_bills_storage.sql	"Business owners can insert their bills"	public.business_bills
REV_01\fix_business_bills_storage.sql	"Business owners can update their bills"	public.business_bills
REV_01\fix_business_bills_storage.sql	"Business owners can update their bills"	storage.objects
REV_01\fix_business_bills_storage.sql	"Business owners can upload their bills"	storage.objects
REV_01\fix_business_bills_storage.sql	"Business owners can view their bills"	public.business_bills
REV_01\fix_business_bills_storage.sql	"Business owners can view their bills"	storage.objects
REV_01\fix_profile_policy.sql	"Users can insert own profile"	public.profiles
REV_01\fix_trusted_partner_signup.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
REV_01\fix_trusted_partner_signup.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
REV_01\fix_trusted_partner_signup.sql	"Members can update their own discounts"	public.trusted_partner_discounts
REV_01\fix_trusted_partner_signup.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
REV_01\fix_trusted_partner_signup.sql	"Members can view their own discounts"	public.trusted_partner_discounts
REV_01\fix_users_memberships_policies.sql	"Users can insert memberships"	public.memberships
REV_01\fix_users_memberships_policies.sql	"Users can insert own user record"	public.users
REV_01\recreate_payments_table.sql	"Admins can view all payments"	public.payments
REV_01\recreate_payments_table.sql	"Service role can manage payments"	public.payments
REV_01\recreate_payments_table.sql	"Users can insert their own payments"	public.payments
REV_01\recreate_payments_table.sql	"Users can view their own payments"	public.payments
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can delete their bills"	public.business_bills
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can delete their bills"	storage.objects
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can insert their bills"	public.business_bills
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can update their bills"	public.business_bills
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can update their bills"	storage.objects
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can upload their bills"	storage.objects
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can view their bills"	public.business_bills
REV_01\supabase_backup_working_scripts_20250925.sql	"Business owners can view their bills"	storage.objects
REV_01\supabase_sql_fix.sql	"Business owners can delete their bills"	public.business_bills
REV_01\supabase_sql_fix.sql	"Business owners can delete their bills"	storage.objects
REV_01\supabase_sql_fix.sql	"Business owners can insert their bills"	public.business_bills
REV_01\supabase_sql_fix.sql	"Business owners can update their bills"	public.business_bills
REV_01\supabase_sql_fix.sql	"Business owners can update their bills"	storage.objects
REV_01\supabase_sql_fix.sql	"Business owners can upload their bills"	storage.objects
REV_01\supabase_sql_fix.sql	"Business owners can view their bills"	public.business_bills
REV_01\supabase_sql_fix.sql	"Business owners can view their bills"	storage.objects
REV_01\temp_debug_policies.sql	"Authenticated users can delete bills"	public.business_bills
REV_01\temp_debug_policies.sql	"Authenticated users can delete bills"	storage.objects
REV_01\temp_debug_policies.sql	"Authenticated users can insert bills"	public.business_bills
REV_01\temp_debug_policies.sql	"Authenticated users can update bills"	public.business_bills
REV_01\temp_debug_policies.sql	"Authenticated users can update bills"	storage.objects
REV_01\temp_debug_policies.sql	"Authenticated users can upload bills"	storage.objects
REV_01\temp_debug_policies.sql	"Authenticated users can view bills"	public.business_bills
REV_01\temp_debug_policies.sql	"Authenticated users can view bills"	storage.objects
supabase\migrations\20240913000000_create_base_tables.sql	"Users can update own business"	public.businesses
supabase\migrations\20240913000000_create_base_tables.sql	"Users can update own profile"	public.profiles
supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own business"	public.businesses
supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own membership"	public.memberships
supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own profile"	public.profiles
supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own trusted_partner record"	public.trusted_partners
supabase\migrations\20240913000000_create_base_tables.sql	"Users can view own user record"	public.users
supabase\migrations\20250916131000_create_missing_users_and_profile_policy.sql	allow_self_profile_insert	public.profiles
supabase\migrations\20250916131000_create_missing_users_and_profile_policy.sql	allow_self_profile_update	public.profiles
supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_insert	public.users
supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_select	public.users
supabase\migrations\20250917100000_fix_users_policy_recursion.sql	allow_self_users_update	public.users
supabase\migrations\20250917210000_create_payments_table.sql	"Admins can view all payments"	payments
supabase\migrations\20250917210000_create_payments_table.sql	"Service role can manage payments"	payments
supabase\migrations\20250917210000_create_payments_table.sql	"Users can insert their own payments"	payments
supabase\migrations\20250917210000_create_payments_table.sql	"Users can view their own payments"	payments
supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Service role can manage all businesses"	public.businesses
supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can delete their own business"	public.businesses
supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can insert their own business"	public.businesses
supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can update their own business"	public.businesses
supabase\migrations\20250918000004_add_businesses_rls_policies.sql	"Users can view their own business"	public.businesses
supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Service role can manage memberships"	public.memberships
supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can insert their own memberships"	public.memberships
supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can update their own memberships"	public.memberships
supabase\migrations\20250918120000_check_and_fix_memberships_policies.sql	"Users can view their own memberships"	public.memberships
supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Service role can manage memberships"	public.memberships
supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can insert their own memberships"	public.memberships
supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can update their own memberships"	public.memberships
supabase\migrations\20250918130000_fix_recursive_memberships_policies.sql	"Users can view their own memberships"	public.memberships
supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can insert profiles"	public.profiles
supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can manage memberships"	public.memberships
supabase\migrations\20250919180000_add_trigger_insert_policies.sql	"Service role can manage profiles"	public.profiles
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can delete their own discounts"	merchant_discounts
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can insert their own discounts"	merchant_discounts
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can update their own discounts"	merchant_discounts
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	"Users can view their own discounts"	merchant_discounts
supabase\migrations\20250921100002_add_offers_view_policy.sql	"Users can view active discounts from all merchants"	merchant_discounts
supabase\migrations\20250921100003_add_business_offers_policy.sql	"Users can view business names for offers"	businesses
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can delete their own discounts"	merchant_discounts
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can insert their own discounts"	merchant_discounts
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can update their own discounts"	merchant_discounts
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	"Users can view their own discounts"	merchant_discounts
supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can view own trusted partner record"	public.merchants
supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Trusted partners can update own business"	public.businesses
supabase\migrations\20250924081831_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Trusted partners can view own business"	public.businesses
supabase\migrations\20250924133431_update_role_terminology.sql	"Members can view own trusted partner record"	public.merchants
supabase\migrations\20250924133431_update_role_terminology.sql	"Trusted partners can update own business"	public.businesses
supabase\migrations\20250924133431_update_role_terminology.sql	"Trusted partners can view own business"	public.businesses
supabase\migrations\20250924140000_add_profile_insert_policy.sql	"Users can insert own profile"	public.profiles
supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can insert own trusted partner record"	public.trusted_partners
supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can update own trusted partner record"	public.trusted_partners
supabase\migrations\20250924165015_update_terminology_merchant_to_trusted_partner_user_to_member.sql	"Members can view own trusted partner record"	public.trusted_partners
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can update their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	"Members can view their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can update their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
supabase\migrations\20250924180000_final_terminology_cleanup.sql	"Members can view their own discounts"	public.trusted_partner_discounts
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Service role can manage renewals"	public.subscription_renewals
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can insert their own QR codes"	public.user_qr_codes
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can insert their own subscriptions"	public.subscriptions
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can update their own QR codes"	public.user_qr_codes
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can update their own subscriptions"	public.subscriptions
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own QR codes"	public.user_qr_codes
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own renewal history"	public.subscription_renewals
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	"Users can view their own subscriptions"	public.subscriptions
supabase\migrations\20250925163139_fix_processed_bills_member_id_column.sql	"Members can insert their own processed bills"	public.processed_bills
supabase\migrations\20250925163139_fix_processed_bills_member_id_column.sql	"Members can update their own processed bills"	public.processed_bills
supabase\migrations\20250925163139_fix_processed_bills_member_id_column.sql	"Members can view their own processed bills"	public.processed_bills
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can delete their logos"	storage.objects
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can delete their own logos"	business_logos
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can insert their own logos"	business_logos
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can update their logos"	storage.objects
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can update their own logos"	business_logos
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can upload their logos"	storage.objects
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can view their logos"	storage.objects
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	"Business owners can view their own logos"	business_logos
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can delete their bills"	storage.objects
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can delete their own bills"	business_bills
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can insert their own bills"	business_bills
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can update their bills"	storage.objects
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can update their own bills"	business_bills
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can upload their bills"	storage.objects
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can view their bills"	storage.objects
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	"Business owners can view their own bills"	business_bills
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Partners can insert approvals for their bills"	bill_approvals
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Partners can update their own approvals"	bill_approvals
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Partners can view their own approvals"	bill_approvals
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Users can delete own bank accounts"	trusted_partner_bank_accounts
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Users can insert own bank accounts"	trusted_partner_bank_accounts
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Users can update own bank accounts"	trusted_partner_bank_accounts
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	"Users can view own bank accounts"	trusted_partner_bank_accounts
supabase\migrations\20250926000000_automatic_qr_payment_management.sql	"Service role can manage payment schedules"	public.payment_schedules
supabase\migrations\20250926000000_automatic_qr_payment_management.sql	"Users can view their own payment schedules"	public.payment_schedules
supabase\migrations\20250928100541_create_calibration_receipts_table.sql	"Business owners can manage their calibration receipts"	calibration_receipts
supabase\migrations\20250928100541_create_calibration_receipts_table.sql	"Members can view active calibration receipts"	calibration_receipts
supabase\migrations\20250928100541_create_calibration_receipts_table.sql	"Service role can manage all calibration receipts"	calibration_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can insert their own authorizations"	deal_authorizations
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can insert their own receipts"	member_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can update their own receipts"	member_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can view their own authorizations"	deal_authorizations
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can view their own receipts"	member_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Members can view their own virtual receipts"	virtual_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Trusted partners can update authorizations for their business"	deal_authorizations
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Trusted partners can view authorizations for their business"	deal_authorizations
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Trusted partners can view virtual receipts for their authorizations"	virtual_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Users can update their own notifications"	notifications
supabase\migrations\20251010130000_create_deal_authorizations.sql	"Users can view their own notifications"	notifications
supabase\migrations\20251013191852_fix_discount_visibility.sql	"Business owners can manage their discounts"	trusted_partner_discounts
supabase\migrations\20251013191852_fix_discount_visibility.sql	"Users can view all discounts"	trusted_partner_discounts
supabase\migrations\20251013193911_fix_notifications_rls_policies.sql	"Authenticated users can insert notifications"	notifications
supabase\migrations\20251013193911_fix_notifications_rls_policies.sql	"Users can update their notifications"	notifications
supabase\migrations\20251013193911_fix_notifications_rls_policies.sql	"Users can view their notifications"	notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can manage all businesses"	public.businesses
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can update memberships"	public.memberships
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can update payments"	public.payments
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all authorizations"	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all bills"	public.processed_bills
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all discounts"	public.trusted_partner_discounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all memberships"	public.memberships
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all notifications"	public.notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all payments"	public.payments
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all profiles"	public.profiles
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all QR codes"	public.user_qr_codes
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all subscriptions"	public.subscriptions
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Admins can view all trusted_partners"	public.trusted_partners
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can create businesses"	public.businesses
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can insert notifications"	public.notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can insert payments"	public.payments
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can insert subscriptions"	public.subscriptions
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can insert their profile"	public.profiles
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Authenticated users can insert trusted_partner records"	public.trusted_partners
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Business owners can manage their discounts"	public.trusted_partner_discounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Business owners can update authorizations for their business"	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Business owners can update their business"	public.businesses
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Business owners can view authorizations for their business"	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Business owners can view bills for their business"	public.processed_bills
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can create their own authorizations"	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can insert their own bills"	public.processed_bills
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can update their own bills"	public.processed_bills
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can view their own authorizations"	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can view their own bills"	public.processed_bills
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Members can view their own payments"	public.payments
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can delete own bank accounts"	public.trusted_partner_bank_accounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can insert own bank accounts"	public.trusted_partner_bank_accounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can insert their own QR codes"	public.user_qr_codes
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can update own bank accounts"	public.trusted_partner_bank_accounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can update their own notifications"	public.notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can update their own profile"	public.profiles
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can update their own subscriptions"	public.subscriptions
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can update their own trusted_partner record"	public.trusted_partners
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view all active discounts"	public.trusted_partner_discounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view all businesses"	public.businesses
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view own bank accounts"	public.trusted_partner_bank_accounts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own membership"	public.memberships
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own notifications"	public.notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own profile"	public.profiles
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own QR codes"	public.user_qr_codes
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own subscriptions"	public.subscriptions
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	"Users can view their own trusted_partner record"	public.trusted_partners
supabase\migrations\20251015160000_add_anon_email_policy.sql	"Anon can check email"	public.profiles
supabase\migrations\20251015161000_update_anon_policy_to_anon.sql	"Anon can check email"	public.profiles
supabase\migrations\20251027104032_fix_profiles_rls_for_notifications.sql	"Authenticated users can view profiles for FK validation"	profiles
supabase\migrations\20251030000002_reorganize_banking_schema.sql	"Members can manage their bank accounts"	public.members_bank_accounts
supabase\migrations\20251030000002_reorganize_banking_schema.sql	"Members can manage their card details"	public.members_card_details
supabase\migrations\20251201000000_fix_admin_memberships_infinite_recursion.sql	"Admins can delete any membership"	public.memberships
supabase\migrations\20251201000000_fix_admin_memberships_infinite_recursion.sql	"Admins can insert any membership"	public.memberships
supabase\migrations\20251201000000_fix_admin_memberships_infinite_recursion.sql	"Admins can update any membership"	public.memberships
supabase\migrations\20251201000000_fix_admin_memberships_infinite_recursion.sql	"Admins can view all memberships"	public.memberships
supabase\migrations\20260207182830_fix_deal_image_upload_rls.sql	"Admins can manage partner deal images"	storage.objects
supabase\migrations\20260207182830_fix_deal_image_upload_rls.sql	"Anyone can view deal images"	storage.objects
